1/1,あけましておめでとうございます！元日ですね🎍
1/2,初夢は見ましたか？今日は「初夢」の日です。
1/3,三が日最終日。箱根駅伝の復路を応援しましょう！
1/4,仕事始めの方も多いのでは？ボチボチ行きましょう。
1/5,いちごの日🍓 甘いものを食べて活力を！
1/6,ケーキの日。自分へのご褒美にいかがですか？
1/7,七草がゆの日。胃休めをして体調を整えましょう。
1/8,勝負事の日。今日は自分に打ち勝ちましょう！
1/9,クイズの日。たまには頭の体操もいいですね。
1/10,110番の日。安全第一で過ごしましょう。
1/11,鏡開きの日。お餅を食べて無病息災を願いましょう。
1/12,スキーの日。冬のアクティビティも楽しみたいですね。
1/13,ピースの日。タバコの銘柄にちなんでいるそうです。
1/14,タロとジロの日。南極物語の感動を思い出しますね。
1/15,いちご世代の日。15歳の皆さんにエールを！
1/16,ヒーローの日。あなたにとってのヒーローは誰？
1/17,おむすびの日。手軽にエネルギー補給しましょう🍙
1/18,118番の日。海の安全を守る番号です。
1/19,のど飴の日。乾燥に気をつけて過ごしましょう。
1/20,大寒。一年で一番寒い時期
1/21,ライバルの日。切磋琢磨して成長しましょう。
1/22,カレーの日。今日の夕飯はカレーで決まり🍛
1/23,電子メールの日。大切な人にメールを送りませんか？
1/24,ゴールドラッシュの日。何か良いものが見つかるかも！
1/25,ホットケーキの日。ふわふわの幸せをどうぞ🥞
1/26,文化財保護の日。歴史を大切にしたいですね。
1/27,求婚の日。勇気を出して一歩踏み出す日。
1/28,衣類乾燥機の日。洗濯物が乾きにくい時期に感謝。
1/29,昭和基地開設記念日。極地の寒さに思いを馳せて。
1/30,3分間電話の日。昔の公衆電話のルールだそうです。
1/31,愛妻の日。大切なパートナーを労いましょう。
2/1,テレビ放送記念日。たまにはテレビをのんびり観る？
2/2,夫婦の日。いつも支えてくれる人に感謝を。
2/3,節分。豆をまいて福を呼び込みましょう👹
2/4,立春。暦の上では春の始まりです🌸
2/5,笑顔の日。ニコニコ笑顔で過ごしましょう！
2/6,海苔の日。おにぎりには美味しい海苔を。
2/7,北方領土の日。平和を願う一日にしましょう。
2/8,郵便記号「〒」の日。手紙の温かさを大切に。
2/9,肉の日。今日はスタミナをつけましょう🍖
2/10,ふきのとうの日。春の苦味を楽しみましょう。
2/11,建国記念の日。日本の歴史を考える日です。
2/12,ブラジャーの日。女性をサポートする発明ですね。
2/13,名字の日。自分の名前の由来を調べてみる？
2/14,バレンタインデー。チョコのように甘い一日を🍫
2/15,お菓子の日。ちょっと一息
2/16,天気図記念日。明日の予報をチェックしましょう。
2/17,ガチャの日。何が出るかワクワクしますね。
2/18,嫌煙の日。空気を綺麗に保ちましょう。
2/19,天地の日。地動説を唱えたコペルニクスの誕生日。
2/20,歌舞伎の日。伝統芸能に触れてみるのも良し。
2/21,夏目漱石の日。読書の時間を持ちましょう。
2/22,猫の日。猫のようにマイペースに行きましょう🐾
2/23,富士山の日。美しい景色に癒されたいですね🗻
2/24,鉄道ストの日。交通機関のありがたみを感じます。
2/25,夕刊紙の日。最新ニュースをチェックしましょう。
2/26,脱出の日。困難から抜け出す勇気を！
2/27,絆の日。人との繋がりを再確認しましょう。
2/28,ビスケットの日。サクサク美味しいおやつタイム。
2/29,閏日。4年に一度の特別な一日です。
3/1,マヨネーズの日。サラダを美味しく食べましょう🥗
3/2,ミニチュアの日。小さいものの可愛さを愛でる日。
3/3,ひな祭り。女の子の健やかな成長を願って🎎
3/4,差し入れの日。頑張っている人にエールを。
3/5,珊瑚の日。海の豊かさを守りたいですね🪸
3/6,弟の日。きょうだいの絆を大切に。
3/7,サウナの日。ととのってリフレッシュしましょう♨️
3/8,ミツバチの日。自然の恵みに感謝する日🐝
3/9,サンキューの日。感謝を言葉にしましょう！✨
3/10,砂糖の日。甘いもので疲れを癒しましょう。
3/11,パンダ発見の日。白黒の愛らしさに癒されます。
3/12,財布の日。お金の管理を見直してみる？👛
3/13,サンドイッチの日。お好みの具を挟んでランチ🥪
3/14,ホワイトデー。お返しの準備はバッチリ？🎁
3/15,靴の日。新しい靴でお出かけしたくなりますね。
3/16,国立公園指定記念日。自然を満喫しに行こう！
3/17,漫画週刊誌の日。ワクワクする物語を読もう。
3/18,精霊の日。神秘的なものに思いを馳せて。
3/19,ミュージックの日。お気に入りの曲で気分を上げよう。
3/20,春分の日。昼と夜の長さが同じになる日🌸
3/21,カラー映画の日。彩りのある一日を！
3/22,放送記念日。情報の窓口に感謝。
3/23,世界気象デー。空を見上げて天気を考えよう。
3/24,マネキン記念日。ファッションを楽しもう。
3/25,電気記念日。あかりの恩恵を感じる日。
3/26,カチューシャの歌の日。音楽の歴史を感じよう。
3/27,さくらの日。お花見の準備はできていますか？🌸
3/28,三ツ矢の日。シュワっと炭酸でリフレッシュ！
3/29,マリモの日。丸いものの癒しパワー。
3/30,国立競技場落成記念日。スポーツを楽しみましょう。
3/31,年度末。一年間の締めくくり
4/1,エイプリルフール。可愛い嘘で笑いましょう🤥
4/2,図書館開設記念日。静かな場所で知識を深める。
4/3,シーサーの日。守り神に見守られる一日に。
4/4,あんぱんの日。牛乳と一緒にいかがですか？🥐
4/5,ヘアカットの日。髪を切って気分転換！
4/6,城の日。歴史的な建造物に会いに行こう。
4/7,世界保健デー。心身ともに健康第一です💪
4/8,出発の日。新しいことに挑戦しましょう！
4/9,フォークソングの日。懐かしいメロディを聴く。
4/10,ヨットの日。風を感じて自由になりたい。
4/11,ガッツポーズの日。目標達成してガッツポーズ！
4/12,パンの記念日。美味しいパン屋さんを探そう。
4/13,喫茶店の日。ゆったりコーヒーを味わう☕
4/14,パートナーデー。大切な相棒を大切に。
4/15,ヘリコプターの日。空からの景色を想像して。
4/16,ボーイズビーアンビシャスデー。大志を抱こう！
4/17,恐竜の日。太古のロマンを感じる日🦖
4/18,お香の日。香りでリラックスしましょう。
4/19,飼育の日。動物たちを愛でる一日を。
4/20,郵政記念日。手紙のやり取りを楽しみましょう。
4/21,民放の日。テレビやラジオの多様性を楽しむ。
4/22,アースデー。地球の環境について考えよう🌍
4/23,子ども読書の日。ワクワクする本に出会おう。
4/24,植物学の日。道端の花に目を向けてみて🌿
4/25,歩道橋の日。景色を少し高い視点から。
4/26,よい風呂の日。お風呂でリラックスタイム♨️
4/27,絆の日。家族や友人との繋がりを深めよう。
4/28,象の日。大きな象に癒されたいですね🐘
4/29,昭和の日。激動の時代に思いを馳せて。
4/30,図書館記念日。本の世界に浸りましょう。
5/1,スズランの日。幸せが訪れますように🌼
5/2,えんぴつの日。手書きの良さを感じて。
5/3,憲法記念日。日本のルールを考える日。
5/4,みどりの日。自然の緑に癒されましょう。
5/5,こどもの日。健やかな成長を願って🎏
5/6,コロッケの日。サクサクのコロッケをどうぞ！
5/7,粉の日。お好み焼きやパンケーキを楽しもう。
5/8,ゴーヤーの日。苦味を楽しんで元気百倍！
5/9,アイスクリームの日。冷たい幸せを一口🍦
5/10,地質の日。足元の地面に歴史がある。
5/11,ご当地キャラの日。お気に入りのキャラは？
5/12,看護の日。ケアの心に感謝する一日。
5/13,愛犬の日。ワンちゃんとの絆を大切に🐶
5/14,温度計の日。今日の気温に合わせた服装で。
5/15,沖縄返還記念日。美しい島々に思いを馳せて。
5/16,旅の日。どこか遠くへ行きたい気分✈️
5/17,お茶漬けの日。サラサラっと手軽に一杯。
5/18,ことばの日。言葉の力を大切にしましょう。
5/19,ボクシングの日。限界に挑む姿勢を尊敬。
5/20,成田空港開港記念日。空の旅を想像して。
5/21,小学校開校の日。学びの原点を思い出して。
5/22,ガールスカウトの日。自立と挑戦を応援。
5/23,キスの日。映画のようなロマンチックな日。
5/24,ゴルフ場記念日。緑の芝生でリフレッシュ。
5/25,食堂車の日。旅をしながらの食事は最高。
5/26,ラッキーゾーンの日。幸運が訪れますように！
5/27,百人一首の日。和の心に触れてみる。
5/28,花火の日。夏の準備を始めましょう。
5/29,こんにゃくの日。ヘルシーに美味しく。
5/30,掃除の日。身の回りを綺麗にしてスッキリ！
5/31,世界禁煙デー。綺麗な空気で深呼吸。
6/1,衣替えの日。新しい服で気分も明るく👕
6/2,横浜港開港記念日。港の風を感じましょう。
6/3,測量の日。正確な測り方が世界を作る。
6/4,虫歯予防デー。歯を大切にしましょう🦷
6/5,世界環境デー。地球に優しい選択を。
6/6,楽器の日。何か演奏してみたくなりますね。
6/7,母親大会記念日。母の強さに感謝する日。
6/8,成層圏発見の日。空の向こう側に思いを。
6/9,ロックの日。好きな音楽を大音量で！🎸
6/10,時の記念日。時間を大切に使いましょう。
6/11,傘の日。お気に入りの傘で雨の日も楽しく☔
6/12,日記の日。今日から日記を始めてみる？
6/13,鉄人の日。衣笠選手の偉業を称えて。
6/14,五輪旗制定記念日。平和の祭典を願って。
6/15,信用金庫の日。地域の繋がりを大切に。
6/16,和菓子の日。上品なあんで一息つきましょう。
6/17,おまわりさんの日。地域の安全に感謝。
6/18,おにぎりの日。日本人のソウルフード🍙
6/19,朗読の日。声に出して物語を読もう。
6/20,ペパーミントの日。爽やかな香りでリフレッシュ。
6/21,スナックの日。たまにはお菓子でパーティ！
6/22,ボウリングの日。ストライクを目指して！🎳
6/23,オリンピックデー。スポーツの力を信じて。
6/24,ドレミの日。音階の誕生を祝う日。
6/25,指定自動車教習所の日。安全運転を誓います。
6/26,露天風呂の日。開放的な気分で入浴♨️
6/27,ちらし寿司の日。彩り豊かな食事を。
6/28,パフェの日。甘い盛り合わせで至福の時🍦
6/29,佃煮の日。ご飯のお供にぴったり。
6/30,ハーフタイムデー。一年の半分
7/1,郵便番号記念日。正しい番号で届けよう。
7/2,うどんの日。ツルツルっと美味しい一杯🍜
7/3,ソフトクリームの日。夏にぴったりのデザート🍦
7/4,梨の日。シャリシャリの食感を心待ちに。
7/5,ビキニの日。海の季節がやってきた！🌊
7/6,サラダ記念日。何気ない日を記念日に🥗
7/7,七夕。願い事が叶いますように🎋
7/8,質屋の日。物の価値を考える一日。
7/9,ジェットコースターの日。スリルを楽しもう！
7/10,納豆の日。ネバネバパワーで元気に！
7/11,ラーメンの日。お気に入りの一杯を🍜
7/12,ラジオ本放送の日。声の力を信じましょう。
7/13,ナイスの日。素敵なことを見つけよう。
7/14,ゼリーの日。ひんやりプルプルおやつ。
7/15,ファミコンの日。懐かしのゲームで遊ぶ？🎮
7/16,虹の日。雨上がりの空を楽しみに🌈
7/17,東京の日。都会のエネルギーを感じて。
7/18,ネルソン・マンデラ・デー。平和を願う日。
7/19,サイボーグの日。未来の技術を想像しよう。
7/20,ハンバーガーの日。ガブっと元気よく🍔
7/21,神前結婚記念日。神聖な誓いを大切に。
7/22,ナッツの日。カリッと栄養補給🥜
7/23,ふみの日。手紙を書いて思いを伝えよう。
7/24,劇画の日。力強いストーリーに圧倒される。
7/25,かき氷の日。頭がキーンとする涼しさを🍧
7/26,幽霊の日。怪談で涼しくなるのも一興。
7/27,スイカの日。夏といえばこれですね！🍉
7/28,地名の日。土地の名前の由来を知る。
7/29,福神漬の日。カレーの最高の相棒。
7/30,梅干の日。酸っぱさでシャキッとしよう。
7/31,蓄音機の日。エジソンの発明に感謝。
8/1,水の日。命の源
8/2,ハーブの日。香りで心身を整えて🌿
8/3,はちみつの日。甘い癒しをどうぞ🍯
8/4,箸の日。毎日の食事を支える道具に感謝。
8/5,タクシーの日。移動を助けてくれる力。
8/6,ハムの日。サラダやサンドイッチに。
8/7,バナナの日。手軽に栄養補給🍌
8/8,笑いの日。ハハハと笑って過ごしましょう！
8/9,野球の日。白球を追う情熱に乾杯⚾
8/10,道の日。続く道の先に希望を。
8/11,山の日。山の恵みに感謝しましょう。
8/12,配布の日。情報の共有を大切に。
8/13,左利きの日。個性を大切にする日。
8/14,裸足の日。地面の感触を楽しんで。
8/15,終戦記念日。平和の尊さを噛み締める日。
8/16,女子大生の日。学びの意欲を応援。
8/17,パイナップルの日。トロピカルな気分で。
8/18,米の日。一粒一粒を大切に食べよう🌾
8/19,バイクの日。風を切って走りたい🏍️
8/20,蚊の日。虫除けをしっかりしましょう。
8/21,献血の日。誰かの命を繋ぐアクション。
8/22,チンチン電車の日。レトロな風景を。
8/23,油の日。料理のコクを引き出す力。
8/24,バニラの日。王道の甘さを楽しもう。
8/25,即席ラーメンの日。発明の偉大さを感じる🍜
8/26,ユースホステルの日。旅の出会いを大切に。
8/27,男はつらいよの日。寅さんの優しさを。
8/28,テレビCMの日。短い映像のドラマを楽しむ。
8/29,焼肉の日。スタミナ満点
8/30,富士山測候所記念日。高い場所からの視点。
8/31,野菜の日。不足しがちな栄養を補おう🥗
9/1,防災の日。もしもに備えて点検を。
9/2,靴の日。一歩ずつしっかり歩もう。
9/3,ドラえもんの誕生日。未来の道具が欲しい！🤖
9/4,くしの日。髪を整えて身だしなみチェック。
9/5,石炭の日。エネルギーの歴史に触れて。
9/6,黒の日。シックな黒でおしゃれを。
9/7,CMソングの日。思わず口ずさんじゃう♪
9/8,サンザシの日。健康に良い実を。
9/9,救急の日。応急処置を学んでおく。
9/10,下水道の日。見えないインフラに感謝。
9/11,公衆電話の日。街角の安心を見つけよう。
9/12,宇宙の日。夜空を見上げて無限の想像を。
9/13,世界の法の日。正義と秩序を考える日。
9/14,メンズバレンタインデー。男性から愛を。
9/15,老人の日。人生の先輩を敬いましょう。
9/16,競馬の日。疾走する馬の力強さ。
9/17,モノレールの日。空中の移動を体験。
9/18,かいわれ大根の日。小さな芽の大きな栄養。
9/19,苗字の日。ルーツを知るのも楽しい。
9/20,バスの日。のんびり路線バスの旅。
9/21,ファッションショーの日。自分のスタイルを。
9/22,フィットネスの日。体を動かして健康に！💪
9/23,不動産の日。住まいの大切さを考える。
9/24,清掃の日。街を綺麗に保ちましょう。
9/25,主婦休みの日。たまにはゆっくりして。
9/26,台風襲来の日。備えを万全にしましょう。
9/27,世界観光の日。旅の魅力を語り合おう。
9/28,パソコンの日。文明の利器に感謝💻
9/29,招き猫の日。幸運が訪れますように🐾
9/30,くるみの日。脳に良いナッツを食べよう。
10/1,コーヒーの日。香りで落ち着く一杯☕
10/2,豆腐の日。ヘルシーで万能な食材。
10/3,登山の日。頂上を目指す一歩を。
10/4,いわしの日。お魚を食べて元気に🐟
10/5,時刻表記念日。旅の計画を立てるワクワク。
10/6,役所改革の日。より良い社会を目指して。
10/7,盗難防止の日。戸締りをしっかりと。
10/8,木の日。木のぬくもりを感じて。
10/9,道具の日。道具をメンテナンスしよう。
10/10,銭湯の日。広いお風呂でリラックス♨️
10/11,鉄道の日。ガタンゴトンと旅へ出よう。
10/12,豆乳の日。美容と健康に一杯。
10/13,サツマイモの日。秋の味覚を堪能🍠
10/14,PTA結成の日。教育を支える力。
10/15,きのこの日。秋の香りを楽しみましょう🍄
10/16,世界食料デー。食べ物の大切さを考える。
10/17,貯蓄の日。未来のために少しずつ。
10/18,統計の日。データから真実を見抜こう。
10/19,バーゲンの日。お得に買い物を楽しもう。
10/20,リサイクルの日。資源を大切に。
10/21,あかりの日。灯火のありがたみを感じる。
10/22,パラシュートの日。勇気を持って飛び出す。
10/23,電信電話記念日。通信の歴史に驚く。
10/24,文鳥の日。小さな命の可愛さに癒される。
10/25,パスタの日。お好みのソースでどうぞ🍝
10/26,原子力の日。エネルギーを考える日。
10/27,文字・活字文化の日。読書の秋本番。
10/28,速記の日。スピードと正確さを。
10/29,おしぼりの日。手を拭いて心もリセット。
10/30,初恋の日。甘酸っぱい思い出。
10/31,ハロウィン。仮装して楽しもう🎃
11/1,灯台記念日。航路を照らす光に感謝。
11/2,タイツの日。足元を暖かくして。
11/3,文化の日。自由と平和を愛する日。
11/4,ユネスコ憲章記念日。平和を願う心。
11/5,縁結びの日。良いご縁がありますように。
11/6,アパート記念日。住まいの形を考える。
11/7,鍋の日。みんなで囲んで温まろう🍲
11/8,いい歯の日。歯磨きを丁寧に🦷
11/9,119番の日。防火意識を高めよう🚒
11/10,エレベーターの日。垂直の移動に感謝。
11/11,ポッキー＆プリッツの日。シェアして楽しもう🥢
11/12,皮膚の日。スキンケアで健やかに。
11/13,うるしの日。伝統工芸の美しさ。
11/14,パチンコの日。たまの息抜きにいかが？
11/15,七五三。子どもの健やかな成長を願う。
11/16,幼稚園記念日。教育の第一歩を祝う。
11/17,将棋の日。一手一手に魂を込めて。
11/18,土木の日。社会の基盤を支える力。
11/19,鉄道電化の日。進化する交通に期待。
11/20,ピザの日。熱々をみんなで食べよう🍕
11/21,インターネット記念日。繋がる世界に感謝。
11/22,いい夫婦の日。パートナーに「ありがとう」。
11/23,勤労感謝の日。働くすべての人に感謝！
11/24,オペラ記念日。芸術の深みに浸ろう。
11/25,ハイビジョンの日。鮮やかな映像を楽しむ。
11/26,いい風呂の日。お風呂でしっかり温まる♨️
11/27,更生保護記念日。再出発を支える心。
11/28,税関記念日。水際を守る仕事に感謝。
11/29,いい肉の日。美味しいお肉で元気に🍖
11/30,カメラの日。思い出を一枚に残そう📸
12/1,映画の日。大きなスクリーンで感動を。
12/2,日本人宇宙飛行記念日。宇宙への夢。
12/3,カレンダーの日。来年の予定を考えよう。
12/4,血清療法の日。医学の進歩に感謝。
12/5,バミューダトライアングルの日。謎を追う。
12/6,姉の日。家族の絆を大切に。
12/7,クリスマスツリーの日。街が華やぐ季節🎄
12/8,針供養。道具を労い
12/9,マウスの日。PC操作を支えてくれる。
12/10,世界人権デー。尊厳を守る一日に。
12/11,百円玉の日。お金の価値を考える。
12/12,漢字の日。今年の漢字は何でしょう？
12/13,正月事始め。準備を始めましょう。
12/14,討ち入りの日。忠臣蔵の物語を思う。
12/15,観光バス記念日。皆で楽しくお出かけ。
12/16,電話創業の日。声のコミュニケーション。
12/17,飛行機の日。ライト兄弟の勇気を称えて✈️
12/18,東京駅完成記念日。歴史ある建築を愛でる。
12/19,日本人初飛行の日。空への憧れを形に。
12/20,デパートの日。お買い物で気分を上げよう。
12/21,遠距離恋愛の日。想いを繋ぐ一日。
12/22,冬至。ゆず湯に入ってカボチャを食べよう。
12/23,テレホンカードの日。懐かしのアイテム。
12/24,クリスマスイブ。素敵な夜を過ごして🎅
12/25,クリスマス。幸せが溢れる一日に🎄
12/26,プロ野球誕生の日。熱い戦いを称えて⚾
12/27,ピーターパンの日。子どもの心を忘れずに。
12/28,ディスクジョッキーの日。音楽で繋がろう。
12/29,シャンソンの日。優雅な歌声に耳を傾けて。
12/30,地下鉄記念日。都会の足に感謝。
12/31,大晦日。一年を振り返り
